Name,DataType,Path
SDE.Layers_with_Descriptions,Table,F:\GIS\DB_CONNECT\Collection.sde\SDE.Layers_with_Descriptions
SDE.RTP_All_Projects_Polygon_Comments_Table,Table,F:\GIS\DB_CONNECT\Collection.sde\SDE.RTP_All_Projects_Polygon_Comments_Table
SDE.Trail_Polling_Comments,Table,F:\GIS\DB_CONNECT\Collection.sde\SDE.Trail_Polling_Comments
SDE.Falcon_Observation,Table,F:\GIS\DB_CONNECT\Collection.sde\SDE.Falcon_Observation
SDE.Falcon_Site__ATTACH,Table,F:\GIS\DB_CONNECT\Collection.sde\SDE.Falcon_Site__ATTACH
SDE.Osprey_Nest_Photo__ATTACH,Table,F:\GIS\DB_CONNECT\Collection.sde\SDE.Osprey_Nest_Photo__ATTACH
SDE.sez_channel_incision__ATTACH,Table,F:\GIS\DB_CONNECT\Collection.sde\SDE.sez_channel_incision__ATTACH
SDE.sez_invasive_plant__ATTACH,Table,F:\GIS\DB_CONNECT\Collection.sde\SDE.sez_invasive_plant__ATTACH
SDE.sez_photos__ATTACH,Table,F:\GIS\DB_CONNECT\Collection.sde\SDE.sez_photos__ATTACH
SDE.sez_stream_headcut__ATTACH,Table,F:\GIS\DB_CONNECT\Collection.sde\SDE.sez_stream_headcut__ATTACH
SDE.SEZ_Photo_2022__ATTACH,Table,F:\GIS\DB_CONNECT\Collection.sde\SDE.SEZ_Photo_2022__ATTACH
SDE.Stream_Erosion__ATTACH,Table,F:\GIS\DB_CONNECT\Collection.sde\SDE.Stream_Erosion__ATTACH
SDE.Noise_Photo__ATTACH,Table,F:\GIS\DB_CONNECT\Collection.sde\SDE.Noise_Photo__ATTACH
SDE.StreamBio_Photo__ATTACH,Table,F:\GIS\DB_CONNECT\Collection.sde\SDE.StreamBio_Photo__ATTACH
SDE.Scenic_Photo_Point__ATTACH,Table,F:\GIS\DB_CONNECT\Collection.sde\SDE.Scenic_Photo_Point__ATTACH
SDE.Stream_CSCI_RawScore,Table,F:\GIS\DB_CONNECT\Collection.sde\SDE.Stream_CSCI_RawScore
SDE.Mooring_Info,Table,F:\GIS\DB_CONNECT\Collection.sde\SDE.Mooring_Info
SDE.Mooring_Tag,Table,F:\GIS\DB_CONNECT\Collection.sde\SDE.Mooring_Tag
SDE.Mooring__ATTACH,Table,F:\GIS\DB_CONNECT\Collection.sde\SDE.Mooring__ATTACH
SDE.eDNA_Sample__ATTACH,Table,F:\GIS\DB_CONNECT\Collection.sde\SDE.eDNA_Sample__ATTACH
SDE.Osprey_Nest_Location__ATTACH,Table,F:\GIS\DB_CONNECT\Collection.sde\SDE.Osprey_Nest_Location__ATTACH
SDE.AccessoryDwellingUnit,Table,F:\GIS\DB_CONNECT\Collection.sde\SDE.AccessoryDwellingUnit
SDE.ResidentialBonusUnit,Table,F:\GIS\DB_CONNECT\Collection.sde\SDE.ResidentialBonusUnit
SDE.Bioassessment_sites_2023__ATTACH,Table,F:\GIS\DB_CONNECT\Collection.sde\SDE.Bioassessment_sites_2023__ATTACH
SDE.TTD_SMART_VRU_Counts_All,Table,F:\GIS\DB_CONNECT\Collection.sde\SDE.TTD_SMART_VRU_Counts_All
SDE.TTD_SMART_Vehicle_Counts_All,Table,F:\GIS\DB_CONNECT\Collection.sde\SDE.TTD_SMART_Vehicle_Counts_All
SDE.TTD_SMART_Speed_All,Table,F:\GIS\DB_CONNECT\Collection.sde\SDE.TTD_SMART_Speed_All
SDE.TTD_SMART_Safety_Insights,Table,F:\GIS\DB_CONNECT\Collection.sde\SDE.TTD_SMART_Safety_Insights
SDE.Parcel_Permit_Review_Attributes,Table,F:\GIS\DB_CONNECT\Collection.sde\SDE.Parcel_Permit_Review_Attributes
SDE.Parcel_Soil_Type,Table,F:\GIS\DB_CONNECT\Collection.sde\SDE.Parcel_Soil_Type
SDE.TTD_SMART_TrafficCameraLocations__ATTACH,Table,F:\GIS\DB_CONNECT\Collection.sde\SDE.TTD_SMART_TrafficCameraLocations__ATTACH
SDE.TTD_SMART_Daily_Vehicle_Counts,Table,F:\GIS\DB_CONNECT\Collection.sde\SDE.TTD_SMART_Daily_Vehicle_Counts
sde.SDE_compress_log,Table,F:\GIS\DB_CONNECT\Collection.sde\sde.SDE_compress_log
